"word","cnt","average"
"stunning",282,93.3617021276596
"superb",274,93.2226277372263
"glorious",69,93.1739130434783
"awesome",56,92.8928571428571
"amazing",154,92.8181818181818
"fabulous",112,92.8125
"marvelous",38,92.6578947368421
"splendid",62,92.258064516129
"wow",49,92.2244897959184
"noble",94,91.9574468085106
"grand",423,91.9054373522459
"irresistible",143,91.8951048951049
"joy",153,91.8758169934641
"flagship",110,91.8545454545455
"outstanding",228,91.8508771929825
"beautiful",1570,91.7732484076433
"riot",41,91.7560975609756
"reward",119,91.7310924369748
"glory",37,91.6756756756757
"worthy",264,91.6742424242424
"diamond",59,91.6610169491525
"impressive",1839,91.6557911908646
"beautifully",1433,91.6371249127704
"wonderful",607,91.6243822075783
"impresses",199,91.5527638190955
"fantastic",156,91.5128205128205
"brilliant",263,91.4942965779468
"celebrates",39,91.4358974358974
"remarkable",175,91.3942857142857
"growth",38,91.3157894736842
"excellence",51,91.3137254901961
"sexy",108,91.3055555555556
"authority",41,91.2682926829268
"fascinating",251,91.2390438247012
"celebrate",34,91.2352941176471
"powerful",2845,91.1391915641476
"intricate",131,91.1374045801527
"superior",96,91.1354166666667
"terrific",253,91.0830039525692
"blocks",111,91.0720720720721
"tender",90,91.0666666666667
"ability",121,91.0413223140496
"promises",323,90.984520123839
"rewarding",121,90.9752066115702
"bloody",40,90.975
"huge",526,90.9505703422053
"delights",37,90.945945945946
"suave",61,90.9344262295082
"expands",63,90.9047619047619
"brooding",821,90.8830694275274
"demands",107,90.8411214953271
"block",375,90.8266666666667
"supportive",146,90.8219178082192
"blockbuster",93,90.8172043010753
"capable",75,90.7866666666667
"delight",116,90.7758620689655
"intrigues",37,90.7297297297297
"confident",40,90.725
"joyful",43,90.7209302325581
"tension",517,90.7040618955513
"energetic",177,90.6779661016949
"carefully",74,90.6756756756757
"grace",343,90.6618075801749
"lovely",2162,90.6350601295097
"invite",32,90.625
"justice",48,90.625
"grey",84,90.6190476190476
"classy",283,90.6183745583039
"exploration",48,90.5625
"disappoint",52,90.5576923076923
"forget",31,90.5483870967742
"exciting",226,90.4955752212389
"winning",59,90.4576271186441
"excellent",1191,90.4575986565911
"tense",391,90.4552429667519
"expand",76,90.4473684210526
"sophisticated",632,90.4129746835443
"success",176,90.4090909090909
"promise",498,90.3975903614458
"careful",65,90.3692307692308
"ensure",44,90.3636363636364
"focused",1404,90.3618233618234
"esteemed",70,90.3571428571429
"top",1357,90.3205600589536
"elegant",5024,90.3015525477707
"strength",233,90.2961373390558
"kudos",32,90.28125
"rewards",73,90.2602739726027
"yummy",50,90.26
"improving",31,90.258064516129
"celebrated",84,90.25
"gun",50,90.24
"determined",48,90.2291666666667
"strikes",140,90.2285714285714
"blind",41,90.219512195122
"intense",3813,90.2019407290847
"gain",189,90.2010582010582
"extends",134,90.1791044776119
"buoyant",182,90.1758241758242
"embrace",47,90.1702127659574
"wealth",209,90.1626794258373
"goodness",81,90.1604938271605
"elegantly",707,90.1400282885431
"care",48,90.125
"poised",384,90.1171875
"reaching",76,90.1052631578947
"resolve",69,90.0724637681159
"crushed",3262,90.0600858369099
"ease",147,90.0476190476191
"strike",85,90.0352941176471
"spark",32,90.03125
"improve",608,90.0164473684211
"reaches",82,89.9878048780488
"heaven",74,89.9864864864865
"boosts",50,89.98
"respected",35,89.9428571428571
"supports",170,89.9294117647059
"wins",45,89.9111111111111
"avoids",55,89.9090909090909
"fine",7217,89.9074407648608
"progress",31,89.9032258064516
"generous",3417,89.8902546093064
"perfectly",684,89.8728070175439
"rich",17466,89.8612160769495
"resolved",49,89.8571428571429
"inspired",188,89.8563829787234
"alive",165,89.8484848484848
"worth",519,89.8381502890173
"ignore",36,89.8333333333333
"winner",101,89.8316831683168
"bomb",119,89.8067226890756
"sprightly",261,89.7969348659004
"comforting",35,89.7714285714286
"inviting",964,89.7676348547718
"favorite",105,89.7619047619048
"nervous",129,89.7364341085271
"doubt",72,89.7361111111111
"exuberant",396,89.7348484848485
"reach",98,89.734693877551
"intact",37,89.7297297297297
"demanding",75,89.6933333333333
"perfect",1162,89.6901893287435
"bold",2558,89.6696637998436
"impress",98,89.6632653061225
"shame",68,89.6617647058823
"stout",102,89.656862745098
"brightness",369,89.6531165311653
"growing",185,89.6432432432432
"youthful",834,89.6199040767386
"challenge",49,89.6122448979592
"vibrant",2543,89.6099095556429
"fire",86,89.5930232558139
"gaining",70,89.5714285714286
"soothing",111,89.5675675675676
"highlight",202,89.5594059405941
"greet",120,89.55
"sappy",198,89.5454545454545
"supported",619,89.5379644588045
